                                            Anime,                 Video Number
Monster Strike Episode 26,90220
Monster Strike Episode 27,90284
Monster Strike Episode 28,90352
Monster Strike Episode 29,90421
Monster Strike Episode 30,90483
Musaigen no Phantom World: Limitless Phantom World Episode 1,90018
Mushibugyou OVA Episode 3,90062
Naruto Shippuden Episode 461,90056
Naruto Shippuden Episode 462,90133
Naruto Shippuden Episode 463,90198
Naruto Shippuden Episode 464,90264
Naruto Shippuden Episode 465,90327
Naruto Shippuden Episode 466,90455
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 10,90266
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 11,90331
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 12,90403
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 7,90059
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 8,90135
Netoge no Yome wa Onnanoko ja Nai to Omotta? Episode 9,90200
New Game! Episode 1,90517
Nijiiro Days Episode 18,90022
Nijiiro Days Episode 19,90097
Nijiiro Days Episode 20,90170
Nijiiro Days Episode 21,90234
Nijiiro Days Episode 22,90301
Nijiiro Days Episode 23,90370
Nijiiro Days Episode 24,90434
One Piece Episode 741,90010
One Piece Episode 742,90088
One Piece Episode 743,90159
One Piece Episode 744,90225
One Piece Episode 745,90292
One Piece Episode 746,90358
One Piece Episode 747,90425
One Piece Episode 748,90493
One Punch Man Specials Episode 6,90179
Onigiri Episode 10,90258
Onigiri Episode 11,90325
Onigiri Episode 12,90395
Onigiri Episode 13,90451
Onigiri Episode 7,90052
Onigiri Episode 8,90131
Onigiri Episode 9,90193
Orange Episode 1,90492
Pan de Peace! Episode 11,90300
Pan de Peace! Episode 12,90363
Pan de Peace! Episode 13,90433
Pan de Peace! Episode 7,90021
Pan de Peace! Episode 8,90096
Pan de Peace! Episode 9,90168
Pokemon XY&Z Episode 22,90039
Pokemon XY&Z Episode 23,90103
Pokemon XY&Z Episode 24,90118
Pokemon XY&Z Episode 25,90187
Pokemon XY&Z Episode 26,90262
Pokemon XY&Z Episode 27,90333
Pokemon XY&Z Episode 28,90397
Pokemon XY&Z Episode 29,90482
Pokemon XY&Z Episode 30,90504
Puzzle & Dragons Cross Episode 1,90510
Ragnastrike Angels Episode 10,90228
Ragnastrike Angels Episode 11,90306
Ragnastrike Angels Episode 12,90357
Ragnastrike Angels Episode 7,90011
Ragnastrike Angels Episode 8,90087
Ragnastrike Angels Episode 9,90162
Re:Zero kara Hajimeru Break Time Episode 6,90065
Re:Zero kara Hajimeru Isekai Seikatsu Episode 10,90239
Re:Zero kara Hajimeru Isekai Seikatsu Episode 11,90305
Re:Zero kara Hajimeru Isekai Seikatsu Episode 12,90373
Re:Zero kara Hajimeru Isekai Seikatsu Episode 13,90437
Re:Zero kara Hajimeru Isekai Seikatsu Episode 14,90503
Re:Zero kara Hajimeru Isekai Seikatsu Episode 7,90026
Re:Zero kara Hajimeru Isekai Seikatsu Episode 8,90102
Re:Zero kara Hajimeru Isekai Seikatsu Episode 9,90174
ReLIFE Episode 1,90465
ReLIFE Episode 10,90475
ReLIFE Episode 11,90476
ReLIFE Episode 12,90477
ReLIFE Episode 13,90478
ReLIFE Episode 2,90466
ReLIFE Episode 3,90468
ReLIFE Episode 4,90469
ReLIFE Episode 5,90470
ReLIFE Episode 6,90471
ReLIFE Episode 7,90472
ReLIFE Episode 8,90473
ReLIFE Episode 9,90474
Rewrite Episode 1,90488
Rilu Rilu Fairilu: Yousei no Door Episode 1,90029
Rilu Rilu Fairilu: Yousei no Door Episode 10,90212
Rilu Rilu Fairilu: Yousei no Door Episode 11,90263
Rilu Rilu Fairilu: Yousei no Door Episode 12,90277
Rilu Rilu Fairilu: Yousei no Door Episode 13,90346
Rilu Rilu Fairilu: Yousei no Door Episode 14,90386
Rilu Rilu Fairilu: Yousei no Door Episode 15,90448
Rilu Rilu Fairilu: Yousei no Door Episode 2,90041
Rilu Rilu Fairilu: Yousei no Door Episode 3,90046
Rilu Rilu Fairilu: Yousei no Door Episode 4,90057
Rilu Rilu Fairilu: Yousei no Door Episode 5,90063
Rilu Rilu Fairilu: Yousei no Door Episode 6,90076
Rilu Rilu Fairilu: Yousei no Door Episode 7,90104
Rilu Rilu Fairilu: Yousei no Door Episode 8,90132
Rilu Rilu Fairilu: Yousei no Door Episode 9,90164
Robot Town Sagami 2028 Episode 1,90111
Saiki Kusuo no Psi Nan Episode 1,90505
Sailor Moon Crystal Season III Episode 10,90243
Sailor Moon Crystal Season III Episode 11,90311
Sailor Moon Crystal Season III Episode 12,90380
Sailor Moon Crystal Season III Episode 13,90441
Sailor Moon Crystal Season III Episode 7,90032
Sailor Moon Crystal Season III Episode 8,90112
Sailor Moon Crystal Season III Episode 9,90177
Sakamoto desu ga Episode 10,90349
Sakamoto desu ga Episode 11,90413
Sakamoto desu ga Episode 12,90480
Sakamoto desu ga? Episode 6,90078
Sakamoto desu ga? Episode 7,90149
Sakamoto desu ga? Episode 8,90215
Sakamoto desu ga? Episode 9,90281
Sansha Sanyou Episode 10,90303
Sansha Sanyou Episode 11,90371
Sansha Sanyou Episode 12,90436
Sansha Sanyou Episode 6,90025
Sansha Sanyou Episode 7,90099
Sansha Sanyou Episode 8,90172
Sansha Sanyou Episode 9,90235
Seisen Cerberus: Ryuukoku no Fatalités Episode 10,90247
Seisen Cerberus: Ryuukoku no Fatalités Episode 11,90316
Seisen Cerberus: Ryuukoku no Fatalités Episode 12,90384
Seisen Cerberus: Ryuukoku no Fatalités Episode 13,90445
Seisen Cerberus: Ryuukoku no Fatalités Episode 7,90038
Seisen Cerberus: Ryuukoku no Fatalités Episode 8,90116
Seisen Cerberus: Ryuukoku no Fatalités Episode 9,90182
Seitokai Yakuindomo 2 OVA Episode 1,90365
Seitokai Yakuindomo 2 OVA Episode 2,90366
Seitokai Yakuindomo 2 OVA Episode 3,90367
Seitokai Yakuindomo 2 OVA Episode 4,90368
Seitokai Yakuindomo 2 OVA Episode 5,90369
Shokugeki no Souma: Ni no Sara Episode 1,90485
Shoujo-tachi wa Kouya wo Mezasu OVA Episode 1,90296
Shounen Ashibe: Go! Go! Goma-chan Episode 10,90389
Shounen Ashibe: Go! Go! Goma-chan Episode 11,90446
Shounen Ashibe: Go! Go! Goma-chan Episode 6,90043
Shounen Ashibe: Go! Go! Goma-chan Episode 7,90121
Shounen Ashibe: Go! Go! Goma-chan Episode 8,90190
Shounen Ashibe: Go! Go! Goma-chan Episode 9,90319
Shounen Maid Episode 10,90347
Shounen Maid Episode 11,90412
Shounen Maid Episode 12,90481
Shounen Maid Episode 6,90092
Shounen Maid Episode 7,90148
Shounen Maid Episode 8,90214
Shounen Maid Episode 9,90279
Show By Rock!! Short!! Episode 1,90513
Sousei no Onmyouji Episode 10,90256
Sousei no Onmyouji Episode 11,90322
Sousei no Onmyouji Episode 12,90391
Sousei no Onmyouji Episode 7,90048
Sousei no Onmyouji Episode 8,90125
Sousei no Onmyouji Episode 9,90191
Super Lovers Episode 10,90261
Super Lovers Episode 7,90054
Super Lovers Episode 8,90130
Super Lovers Episode 9,90197
Taboo Tattoo Episode 1,90516
Tales of Zestiria the X Episode 1,90500
Tamayura: Sotsugyou Shashin Part 4 – Ashita,90393
Tanaka-kun wa Itsumo Kedaruge Episode 10,90287
Tanaka-kun wa Itsumo Kedaruge Episode 11,90353
Tanaka-kun wa Itsumo Kedaruge Episode 12,90418
Tanaka-kun wa Itsumo Kedaruge Episode 6,90005
Tanaka-kun wa Itsumo Kedaruge Episode 7,90083
Tanaka-kun wa Itsumo Kedaruge Episode 8,90152
Tanaka-kun wa Itsumo Kedaruge Episode 9,90218
Terra Formars Revenge Episode 10,90209
Terra Formars Revenge Episode 11,90275
Terra Formars Revenge Episode 12,90339
Terra Formars Revenge Episode 13,90410
Terra Formars Revenge Episode 8,90071
Terra Formars Revenge Episode 9,90145
Tonkatsu DJ Agetaro Episode 12,90435
Tonkatsu DJ Agetaro Episode 6,90024
Tonkatsu DJ Agetaro Episode 9,90233
Tonkatsu DJ Agetarou Episode 10,90302
Tonkatsu DJ Agetarou Episode 11,90372
Tonkatsu DJ Agetarou Episode 7,90098
Tonkatsu DJ Agetarou Episode 8,90171
Uchuu Patrol Luluco Episode 10,90205
Uchuu Patrol Luluco Episode 11,90271
Uchuu Patrol Luluco Episode 12,90340
Uchuu Patrol Luluco Episode 13,90406
Uchuu Patrol Luluco Episode 8,90067
Uchuu Patrol Luluco Episode 9,90141
Usakame Episode 10,90314
Usakame Episode 11,90382
Usakame Episode 12,90442
Usakame Episode 6,90036
Usakame Episode 7,90114
Usakame Episode 8,90180
Usakame Episode 9,90245
Ushio to Tora (TV) 2nd Season Episode 10,90206
Ushio to Tora (TV) 2nd Season Episode 11,90272
Ushio to Tora (TV) 2nd Season Episode 12,90335
Ushio to Tora (TV) 2nd Season Episode 13,90407
Ushio to Tora (TV) 2nd Season Episode 8,90068
Ushio to Tora (TV) 2nd Season Episode 9,90142
Wagamama High Spec Episode 10,90315
Wagamama High Spec Episode 11,90383
Wagamama High Spec Episode 12,90443
Wagamama High Spec Episode 6,90035
Wagamama High Spec Episode 7,90115
Wagamama High Spec Episode 8,90181
Wagamama High Spec Episode 9,90246
Youkai Watch Episode 112,90122
Yu-Gi-Oh! Arc-V Episode 105,90030
Yu-Gi-Oh! Arc-V Episode 106,90101
Yu-Gi-Oh! Arc-V Episode 107,90175
Yu-Gi-Oh! Arc-V Episode 108,90238
Yu-Gi-Oh! Arc-V Episode 109,90307
Yu-Gi-Oh! Arc-V Episode 110,90377
Yu-Gi-Oh! Arc-V Episode 111,90438
Yu-Gi-Oh! Arc-V Episode 112,90506
